Current Month Return,Prior 5 Months Return,Max Drawdown 6M,Rating,Expected Allocation This Month
50,50,-40.0,89.15,"45,000.00 €"
50,50,-40.1,89.15,"45,000.00 €"
50,50,-40.2,89.15,"45,000.00 €"
50,50,-40.3,89.15,"45,000.00 €"
50,50,-40.4,89.14,"45,000.00 €"
50,50,-40.5,89.14,"45,000.00 €"
50,50,-40.6,89.14,"45,000.00 €"
50,50,-40.7,89.14,"45,000.00 €"
50,50,-40.8,89.13,"45,000.00 €"
50,50,-40.9,89.13,"45,000.00 €"
50,50,-41.0,89.13,"45,000.00 €"
50,50,-41.1,89.13,"45,000.00 €"
50,50,-41.2,89.12,"45,000.00 €"
50,50,-41.3,89.12,"45,000.00 €"
50,50,-41.4,89.12,"45,000.00 €"
50,50,-41.5,89.12,"45,000.00 €"
50,50,-41.6,89.12,"45,000.00 €"
50,50,-41.7,89.11,"45,000.00 €"
50,50,-41.8,89.11,"45,000.00 €"
50,50,-41.9,89.11,"45,000.00 €"
50,50,-42.0,89.11,"45,000.00 €"
50,50,-42.1,89.10,"45,000.00 €"
50,50,-42.2,89.10,"45,000.00 €"
50,50,-42.3,89.10,"45,000.00 €"
50,50,-42.4,89.10,"45,000.00 €"
50,50,-42.5,89.10,"45,000.00 €"
50,50,-42.6,89.09,"45,000.00 €"
50,50,-42.7,89.09,"45,000.00 €"
50,50,-42.8,89.09,"45,000.00 €"
50,50,-42.9,89.09,"45,000.00 €"
50,50,-43.0,89.09,"45,000.00 €"
50,50,-43.1,89.08,"45,000.00 €"
50,50,-43.2,89.08,"45,000.00 €"
50,50,-43.3,89.08,"45,000.00 €"
50,50,-43.4,89.08,"45,000.00 €"
50,50,-43.5,89.08,"45,000.00 €"
50,50,-43.6,89.07,"45,000.00 €"
50,50,-43.7,89.07,"45,000.00 €"
50,50,-43.8,89.07,"45,000.00 €"
50,50,-43.9,89.07,"45,000.00 €"
50,50,-44.0,89.07,"45,000.00 €"
50,50,-44.1,89.06,"45,000.00 €"
50,50,-44.2,89.06,"45,000.00 €"
50,50,-44.3,89.06,"45,000.00 €"
50,50,-44.4,89.06,"45,000.00 €"
50,50,-44.5,89.06,"45,000.00 €"
50,50,-44.6,89.06,"45,000.00 €"
50,50,-44.7,89.05,"45,000.00 €"
50,50,-44.8,89.05,"45,000.00 €"
50,50,-44.9,89.05,"45,000.00 €"
50,50,-45.0,89.05,"45,000.00 €"
50,50,-45.1,89.05,"45,000.00 €"
50,50,-45.2,89.05,"45,000.00 €"
50,50,-45.3,89.04,"45,000.00 €"
50,50,-45.4,89.04,"45,000.00 €"
50,50,-45.5,89.04,"45,000.00 €"
50,50,-45.6,89.04,"45,000.00 €"
50,50,-45.7,89.04,"45,000.00 €"
50,50,-45.8,89.04,"45,000.00 €"
50,50,-45.9,89.03,"45,000.00 €"
50,50,-46.0,89.03,"45,000.00 €"
50,50,-46.1,89.03,"45,000.00 €"
50,50,-46.2,89.03,"45,000.00 €"
50,50,-46.3,89.03,"45,000.00 €"
50,50,-46.4,89.03,"45,000.00 €"
50,50,-46.5,89.02,"45,000.00 €"
50,50,-46.6,89.02,"45,000.00 €"
